algoritmo,tamanho_array,probabilidade,input,output,output_correto,tamanho_sub_array_ordenado,distancia

quick, 100, 0.1, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 6 10 5 10 1 1 2 3 3 7 3 5 6 6 5 12 10 13 15 10 2 5 6 11 10 11 12 11 12 13 14 15 16 11 17 19 19 19 18 21 3 17 19 20 23 24 22 26 26 26 28 45 19 44 34 43 44 15 4 6 26 5 29 29 31 31 31 31 32 32 32 33 44 49 33 32 36 37 47 38 40 39 40 42 42 39 44 46 44 45 45 47 49 47 48 49 49 48 49 47, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 13, 780385603
insertion, 100, 0.1, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 10 11 10 11 11 17 21 44 26 36 4 15 24 42 49 29 3 6 29 42 49 5 19 12 49 31 44 10 13 19 45 39 47 47 2 3 17 48 12 14 47 2 49 13 49 5 26 38 44 45 31 37 48 5 3 1 5 6 6 3 10 16 31 23 32 6 19 47 26 10 18 5 6 7 26 28 32 11 1 33 40 19 20 31 32 33 40 15 32 34 45 12 44 15 19 22 39 43 44 46, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 7, -1476400470
merge, 100, 0.1, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 1 1 2 3 5 2 5 5 5 6 3 10 6 6 3 13 5 6 10 12 12 13 14 15 16 17 15 4 18 7 10 15 19 19 10 19 20 23 26 6 10 29 17 11 29 11 11 21 24 31 26 32 22 26 31 31 32 32 26 33 36 28 33 37 34 38 39 39 40 42 40 44 42 43 31 45 44 45 44 47 12 47 32 44 47 11 19 19 44 45 46 48 47 49 49 49 49 48 49 3, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 10, 592087300
bubble, 100, 0.1, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 1 2 2 3 3 3 3 4 5 5 5 5 6 6 5 6 6 6 7 10 10 10 10 11 10 11 11 12 13 12 13 14 15 15 17 16 17 18 19 19 19 19 20 23 21 24 26 26 26 26 1 29 28 29 31 31 31 31 11 32 32 36 19 37 38 39 42 42 44 44 45 12 32 33 33 47 40 47 44 45 47 49 15 48 49 49 49 49 22 32 40 34 44 47 48 39 43 45 46 44, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 14, 2103481894
quick, 100, 0.15, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 1 45 2 3 6 5 4 6 10 3 16 1 18 31 39 48 46 49 3 3 2 5 5 26 5 6 5 6 6 7 14 10 15 40 47 10 31 42 15 44 43 10 11 10 12 26 11 12 12 17 23 26 31 13 11 17 32 44 11 21 22 29 32 13 19 19 19 24 32 29 15 31 45 32 28 33 20 36 39 38 40 19 33 37 45 42 47 44 47 47 34 44 48 49 49 49 26 49 19 44, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 7, 243994904
insertion, 100, 0.15, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 11 10 11 11 21 24 17 44 4 26 10 15 36 42 29 49 31 49 49 42 3 5 6 10 49 12 45 29 44 19 19 13 39 49 47 2 3 12 17 13 3 47 48 47 26 38 45 14 5 31 1 5 37 44 16 5 6 31 32 26 48 10 32 47 3 6 6 10 23 26 28 2 5 33 18 40 19 19 40 6 7 1 19 15 20 31 32 32 33 34 46 44 11 15 12 22 43 44 45 39, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 8, -526309886
merge, 100, 0.15, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 1 1 3 11 2 12 5 13 4 18 5 3 5 6 7 10 15 5 6 6 10 10 11 13 11 14 3 12 15 19 29 17 20 21 24 26 33 11 38 19 10 22 3 10 16 19 23 26 31 32 33 36 6 42 17 32 34 19 44 19 39 15 40 40 31 47 43 32 26 28 44 12 45 49 46 31 42 44 44 45 32 5 6 47 29 47 2 44 48 48 26 49 31 49 49 47 37 45 49 39, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 10, 1779874767
bubble, 100, 0.15, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 10 10 10 11 10 10 11 12 11 13 12 16 13 17 14 15 17 18 19 7 19 19 21 23 26 24 26 26 29 11 15 29 31 31 31 36 37 38 19 12 42 39 42 44 20 44 44 26 28 32 32 45 31 32 47 47 19 45 48 49 49 33 40 47 49 49 15 40 48 47 22 32 33 49 34 1 39 44 46 44 43 45, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 22, -1411008397
quick, 100, 0.25, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 13 26 11 3 22 4 13 3 6 5 10 5 10 16 19 26 19 24 33 18 17 37 31 12 11 23 26 28 29 32 21 19 6 20 19 44 31 3 11 12 32 39 38 44 45 15 6 5 5 14 32 10 12 47 26 39 11 19 6 15 33 43 40 31 15 40 2 29 31 34 7 3 1 10 17 36 44 44 48 32 49 5 6 42 47 42 49 2 10 44 47 47 48 49 1 45 49 45 46 49, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 7, -1077129087
insertion, 100, 0.25, 11 11 11 10 26 21 44 17 42 36 24 10 4 49 15 29 49 49 42 31 3 45 6 29 5 49 12 44 19 10 13 19 49 47 47 39 2 17 48 3 12 47 26 38 45 14 44 31 37 48 13 31 5 5 3 16 5 32 6 26 10 1 47 32 23 6 10 6 3 26 28 33 2 40 19 5 19 18 33 40 6 31 7 20 46 32 15 44 45 32 34 19 11 22 43 12 1 44 15 39, 11 11 10 11 21 26 44 36 17 24 10 4 29 15 49 42 49 49 3 6 5 42 29 10 31 45 49 12 19 13 19 44 47 47 49 2 3 17 39 48 26 12 47 31 45 38 13 14 37 44 5 3 31 48 5 5 6 26 10 16 23 1 3 32 19 32 6 2 6 10 47 26 33 6 28 40 5 18 33 20 19 7 40 31 32 46 15 44 45 32 11 34 19 1 22 43 12 15 39 44, 1 1 2 2 3 3 3 3 4 5 5 5 5 5 6 6 6 6 6 7 10 10 10 10 10 11 11 11 11 12 12 12 13 13 14 15 15 15 16 17 17 18 19 19 19 19 19 20 21 22 23 24 26 26 26 26 28 29 29 31 31 31 31 32 32 32 32 33 33 34 36 37 38 39 39 40 40 42 42 43 44 44 44 44 44 45 45 45 46 47 47 47 47 48 48 49 49 49 49 49, 6, 1970154783
